date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-01-02,sh.603906,8.6500,8.7200,8.5500,8.6300,8.4900,1106160,9558959.0000,3,1.185272,1,1.649003,0
2019-01-03,sh.603906,8.5800,8.7200,8.4500,8.4500,8.6300,1062440,9095143.0000,3,1.138425,1,-2.085751,0
2019-01-04,sh.603906,8.3800,8.6900,8.3700,8.6700,8.4500,1271219,10913303.0000,3,1.362136,1,2.603554,0
2019-01-07,sh.603906,8.7500,8.8600,8.6700,8.8000,8.6700,2177817,19073980.0000,3,2.333573,1,1.499425,0
2019-01-08,sh.603906,8.8000,8.9400,8.7100,8.8700,8.8000,2355960,20797817.0000,3,2.524456,1,0.795451,0
2019-01-09,sh.603906,8.8700,9.0400,8.8300,8.8500,8.8700,3145060,28096017.0000,3,3.369992,1,-0.225473,0
2019-01-10,sh.603906,8.8200,8.9500,8.7900,8.8400,8.8500,1977553,17556064.0000,3,2.118986,1,-0.112997,0
2019-01-11,sh.603906,8.8600,8.9500,8.7600,8.9100,8.8400,2261595,19986421.0000,3,2.423342,1,0.791852,0
2019-01-14,sh.603906,8.9000,8.9300,8.7200,8.7400,8.9100,1847432,16277336.0000,3,1.979559,1,-1.907969,0
2019-01-15,sh.603906,8.7400,8.9000,8.6700,8.8800,8.7400,1633480,14387712.0000,3,1.750305,1,1.601835,0
2019-01-16,sh.603906,8.8800,8.9600,8.8400,8.9000,8.8800,1668335,14870718.0000,3,1.787653,1,0.225220,0
2019-01-17,sh.603906,8.9000,9.0300,8.7400,8.7700,8.9000,1866800,16604616.0000,3,2.000312,1,-1.460665,0
2019-01-18,sh.603906,8.7600,8.8600,8.6700,8.7800,8.7700,1767683,15470960.0000,3,1.894106,1,0.114017,0
2019-01-21,sh.603906,8.7800,8.9000,8.7700,8.8700,8.7800,1418123,12556160.0000,3,1.519546,1,1.025059,0
2019-01-22,sh.603906,8.8400,8.8900,8.7100,8.7300,8.8700,1259640,11060152.0000,3,1.349728,1,-1.578358,0
2019-01-23,sh.603906,8.7000,8.8600,8.6600,8.7800,8.7300,1013100,8867481.0000,3,1.085556,1,0.572740,0
2019-01-24,sh.603906,8.7800,8.9200,8.7500,8.8800,8.7800,1419521,12570113.0000,3,1.521044,1,1.138957,0
2019-01-25,sh.603906,8.8900,8.8900,8.7600,8.7600,8.8800,1350040,11924926.0000,3,1.446594,1,-1.351350,0
2019-01-28,sh.603906,8.7800,8.8500,8.5000,8.5100,8.7600,2014640,17482907.0000,3,2.158725,1,-2.853881,0
2019-01-29,sh.603906,8.5000,8.5500,8.0500,8.2400,8.5100,1896100,15613358.0000,3,2.031708,1,-3.172743,0
2019-01-30,sh.603906,8.2000,8.3200,8.0500,8.0500,8.2400,909079,7440171.0000,3,0.974096,1,-2.305820,0
2019-01-31,sh.603906,8.0700,8.2200,7.9200,8.0300,8.0500,890180,7182228.0000,3,0.953845,1,-0.248453,0
2019-02-01,sh.603906,8.1100,8.2600,8.0500,8.2400,8.0300,929419,7608906.0000,3,0.995890,1,2.615194,0
2019-02-11,sh.603906,8.2600,8.4500,8.2400,8.4500,8.2400,1008880,8424333.0000,3,1.081034,1,2.548544,0
2019-02-12,sh.603906,8.4300,8.6600,8.3700,8.6600,8.4500,1655159,14177350.0000,3,1.773535,1,2.485208,0
2019-02-13,sh.603906,8.6100,8.8200,8.5200,8.7800,8.6600,2192459,19088304.0000,3,2.349262,1,1.385680,0
2019-02-14,sh.603906,8.8000,8.9300,8.7200,8.7700,8.7800,2071239,18234777.0000,3,2.219372,1,-0.113887,0
2019-02-15,sh.603906,8.7800,8.8500,8.7100,8.8100,8.7700,1231860,10812631.0000,3,1.319962,1,0.456100,0
2019-02-18,sh.603906,8.8400,9.0300,8.7800,9.0000,8.8100,2533201,22680895.0000,3,2.714373,1,2.156635,0
2019-02-19,sh.603906,8.9900,9.1200,8.8100,8.9800,9.0000,2297506,20635149.0000,3,2.461822,1,-0.222227,0
2019-02-20,sh.603906,9.0600,9.0700,8.9100,9.0300,8.9800,1817400,16346157.0000,3,1.947379,1,0.556795,0
2019-02-21,sh.603906,9.3800,9.7600,9.2300,9.2700,9.0300,9264356,87653520.0000,3,9.926935,1,2.657815,0
2019-02-22,sh.603906,9.1200,9.2900,9.0300,9.2800,9.2700,5224644,47764467.0000,3,5.598306,1,0.107867,0
2019-02-25,sh.603906,9.2800,9.6100,9.2800,9.5700,9.2800,6617241,62619112.0000,3,7.090501,1,3.125000,0
2019-02-26,sh.603906,9.5900,9.7700,9.3900,9.5700,9.5700,6350000,60841092.0000,3,6.804147,1,0.000000,0
2019-02-27,sh.603906,9.5500,9.7200,9.4600,9.6000,9.5700,4278261,41141977.0000,3,4.584239,1,0.313487,0
2019-02-28,sh.603906,9.6800,9.6800,9.4400,9.5200,9.6000,2336940,22311367.0000,3,2.504076,1,-0.833333,0
2019-03-01,sh.603906,9.5600,9.6100,9.4600,9.5400,9.5200,2306698,22005411.0000,3,2.471671,1,0.210079,0
2019-03-04,sh.603906,9.5600,9.7900,9.5600,9.6300,9.5400,4059340,39368271.0000,3,4.349661,1,0.943398,0
2019-03-05,sh.603906,9.6400,9.9900,9.6300,9.9800,9.6300,4550902,44759588.0000,3,4.876379,1,3.634470,0
2019-03-06,sh.603906,10.1000,10.1000,9.8300,10.0300,9.9800,4230142,42128149.0000,3,4.532678,1,0.501004,0
2019-03-07,sh.603906,9.9800,10.3700,9.9300,10.2400,10.0300,4292446,43444412.0000,3,4.599438,1,2.093719,0
2019-03-08,sh.603906,10.0000,10.0900,9.5300,9.5700,10.2400,4291800,42330402.0000,3,4.598746,1,-6.542970,0
2019-03-11,sh.603906,9.5900,10.0900,9.5900,10.0400,9.5700,3058821,30151496.0000,3,3.277585,1,4.911183,0
2019-03-12,sh.603906,10.0000,10.2400,9.9100,10.0600,10.0400,5575370,56156902.0000,3,5.974116,1,0.199208,0
2019-03-13,sh.603906,10.0800,10.3600,9.9200,10.0200,10.0600,4240110,42989250.0000,3,4.543359,1,-0.397614,0
2019-03-14,sh.603906,10.0000,10.0600,9.5200,9.5900,10.0200,3138157,30447859.0000,3,3.362595,1,-4.291420,0
2019-03-15,sh.603906,9.6000,9.8400,9.6000,9.7800,9.5900,2305460,22460407.0000,3,2.470345,1,1.981226,0
